;Madagascar;Mozambique;Rwanda;Kenya;Cameroon;Ghana;Seychelles;Vanuatu;Niue;Norfolk Island
Madagascar;0;1;2;2;2;1;0;0;0;0
Mozambique;1;0;2;2;1;1;0;0;0;0
Rwanda;2;2;0;5;4;3;0;0;0;0
Kenya;2;2;5;0;4;5;2;1;0;0
Cameroon;2;1;4;4;0;3;0;0;0;0
Ghana;1;1;3;5;3;0;1;0;0;0
Seychelles;0;0;0;2;0;1;0;0;0;0
Vanuatu;0;0;0;1;0;0;0;0;1;1
Niue;0;0;0;0;0;0;0;1;0;1
Norfolk Island;0;0;0;0;0;0;0;1;1;0
